"id","raw_id","aircraft_model","published_date","event_tag","airline","event_location","event_date","event_description","aircraft_tail_extracted","ac_manufacturer_extracted","ac_model_extracted","flight_number_extracted"
117870,1440,B738,2023-08-13 00:00:00.000 +0200,Incident,Flydubai,Dhaka,2023-08-12 00:00:00.000 +0200,rejected takeoff due to bird strike,A6-FGC,Boeing,"737-800",FZ-502
117871,1441,B738,2023-08-13 00:00:00.000 +0200,Incident,Biman,Dhaka,2023-08-12 00:00:00.000 +0200,rejected takeoff due to bird strike,S2-AFM,Boeing,"737-800",BG-388
117863,1433,A320,2023-08-14 00:00:00.000 +0200,Incident,Lingus,Athens,2023-08-12 00:00:00.000 +0200,bird strike,EI-DEE,Airbus,A320-200,EI-441
117866,1436,A320,2023-08-14 00:00:00.000 +0200,Incident,Asia India,Delhi,2023-08-11 00:00:00.000 +0200,bird strike,VT-NAG,Airbus,A320-200,I5-1569
117927,1497,A320,2023-08-01 00:00:00.000 +0200,Incident,Lufthansa,Hamburg,2023-07-31 00:00:00.000 +0200,bird strike,D-AIUG,Airbus,A320-200,LH-2069
117930,1500,B744,2023-07-30 00:00:00.000 +0200,Incident,Air China,Amsterdam,2023-07-30 00:00:00.000 +0200,bird strike,B-2476,Boeing,"747-400",CA-1040
117911,1481,A333,2023-08-04 00:00:00.000 +0200,Incident,Canada,Algiers,2023-07-27 00:00:00.000 +0200,bird strike,C-GOFV,Airbus,A330-300,AC-71
117933,1503,A320,2023-07-29 00:00:00.000 +0200,Incident,Eurowings Malta,Palma Mallorca,2023-07-27 00:00:00.000 +0200,bird strike,"9H-EWD",Airbus,A320-200,EW-6870
117944,1514,A320,2023-07-26 00:00:00.000 +0200,Incident,Vueling,Tel Aviv,2023-07-26 00:00:00.000 +0200,bird strike,EC-MUM,Airbus,A320-200,VY-7845
117980,1550,A320,2023-07-19 00:00:00.000 +0200,Incident,American,Charlotte,2023-07-18 00:00:00.000 +0200,suspected bird strike,N680AW,Airbus,A320-200,AA-648
